series,date,return_pct
BRMSA0104,2016-08,0.006666666666666667
BRMSA0104,2016-09,0.006666666666666667
BRMSA0104,2016-10,0.006666666666666667
BRMSA0104,2016-11,0.006666666666666667
BRMSA0104,2016-12,0.006666666666666667
BRMSA0104,2017-01,0.006666666666666667
BRMSA0104,2017-02,0.006666666666666667
BRMSA0104,2017-03,0.006666666666666667
BRMSA0104,2017-04,0.006666666666666667
BRMSA0104,2017-05,0.006833333333333334
BRMSA0104,2017-06,0.0075
BRMSA0104,2017-07,0.0075
BRMSA0104,2017-08,0.0075
BRMSA0104,2017-09,0.0075
BRMSA0104,2017-10,0.0075
BRMSA0104,2017-11,0.0075
BRMSA0104,2017-12,0.0075
BRMSA0104,2018-01,0.0075
BRMSA0104,2018-02,0.0075
BRMSA0104,2018-03,0.0075
BRMSA0104,2018-04,0.0075
BRMSA0104,2018-05,0.0075
BRMSA0104,2018-06,0.0075
BRMSA0104,2018-07,0.0075
BRMSA0104,2018-08,0.0075
BRMSA0104,2018-09,0.0075
BRMSA0104,2018-10,0.0075
BRMSA0104,2018-11,0.0075
BRMSA0104,2018-12,0.0075
BRMSA0104,2019-01,0.008166666666666668
BRMSA0104,2019-02,0.008333333333333333
BRMSA0104,2019-03,0.008333333333333333
BRMSA0104,2019-04,0.008333333333333333
BRMSA0104,2019-05,0.008333333333333333
BRMSA0104,2019-06,0.008333333333333333
BRMSA0104,2019-07,0.008333333333333333
BRMSA0104,2019-08,0.008333333333333333
BRMSA0104,2019-09,0.008333333333333333
BRMSA0104,2019-10,0.008333333333333333
BRMSA0104,2019-11,0.008333333333333333
BRMSA0104,2019-12,0.008333333333333333
BRMSA0104,2020-01,0.008333333333333333
BRMSA0104,2020-02,0.008333333333333333
BRMSA0104,2020-03,0.008333333333333333
BRMSA0104,2020-04,0.008333333333333333
BRMSA0104,2020-05,0.008333333333333333
BRMSA0104,2020-06,0.007916666666666667
BRMSA0104,2020-07,0.008333333333333333
BRMSA0104,2020-08,0.008125
BRMSA0104,2020-09,0.0075
BRMSA0104,2020-10,0.007083333333333333
BRMSA0104,2020-11,0.006666666666666667
BRMSA0104,2020-12,0.006333333333333333
BRMSA0104,2021-01,0.005833333333333334
BRMSA0104,2021-02,0.005833333333333334
BRMSA0104,2021-03,0.005833333333333334
BRMSA0104,2021-04,0.005833333333333334
BRMSA0104,2021-05,0.005
BRMSA0104,2021-06,0.005
BRMSA0104,2021-07,0.005
BRMSA0104,2021-08,0.005
BRMSA0104,2021-09,0.005
BRMSA0104,2021-10,0.005
BRMSA0104,2021-11,0.005
BRMSA0104,2021-12,0.005
BRMSA0104,2022-01,0.005
BRMSA0104,2022-02,0.005
BRMSA0104,2022-03,0.005
BRMSA0104,2022-04,0.005
BRMSA0104,2022-05,0.005
BRMSA0104,2022-06,0.006833333333333334
BRMSA0104,2022-07,0.00875
BRMSA0104,2022-08,0.010833333333333334
BRMSA0104,2022-09,0.011041666666666667
BRMSA0104,2022-10,0.013333333333333334
BRMSA0104,2022-11,0.015
BRMSA0104,2022-12,0.01625
BRMSA0104,2023-01,0.01875
BRMSA0104,2023-02,0.01916666666666667
BRMSA0104,2023-03,0.01916666666666667
BRMSA0104,2023-04,0.02
BRMSA0104,2023-05,0.020666666666666667
BRMSA0104,2023-06,0.020833333333333332
BRMSA0104,2023-07,0.03916666666666666
BRMSA0104,2023-08,0.03966666666666666
BRMSA0104,2023-09,0.041041666666666664
BRMSA0104,2023-10,0.043333333333333335
BRMSA0104,2023-11,0.043333333333333335
BRMSA0104,2023-12,0.043541666666666666
BRMSA0104,2024-01,0.043500000000000004
BRMSA0104,2024-02,0.043541666666666666
BRMSA0104,2024-03,0.043541666666666666
BRMSA0104,2024-04,0.043333333333333335
BRMSA0104,2024-05,0.043333333333333335
BRMSA0104,2024-06,0.043541666666666666
BRMSA0104,2024-07,0.04416666666666667
BRMSA0104,2024-08,0.04416666666666667
BRMSA0104,2024-09,0.04395833333333334
BRMSA0104,2024-10,0.04133333333333333
BRMSA0104,2024-11,0.040625
BRMSA0104,2024-12,0.04
BRMSA0104,2025-01,0.03958333333333333
BRMSA0104,2025-02,0.039375
BRMSA0104,2025-03,0.03916666666666666
BRMSA0104,2025-04,0.03916666666666666
BRMSA0104,2025-05,0.04
BRMSA0104,2025-06,0.04
BRMSA0104,2025-07,0.04
BRMSA0104,2025-08,0.04
BRMSA0104,2025-09,0.041874999999999996
BRMSA0104,2025-10,0.04
BRMSA0104,2025-11,0.03916666666666666
BRMSA0104,2025-12,0.041666666666666664
BRMSA0104,2026-01,0.041666666666666664
BRMSA0104,2026-02,0.041666666666666664
BRMSA0104,2026-03,0.041666666666666664
BRMSA0104,2026-04,0.041166666666666664
BRMSA0104,2026-05,0.04083333333333333
BRMSA0104,2026-06,0.04125
BRMSA0104,2026-07,0.041666666666666664
SP500,2016-08,0.3642259752137944
SP500,2016-09,-0.9089039519678321
SP500,2016-10,-0.6798934751898633
SP500,2016-11,1.0249438709573955
SP500,2016-12,3.7710795408305797
SP500,2017-01,1.2679864711596656
SP500,2017-02,2.4084278039356866
SP500,2017-03,1.584251720413521
SP500,2017-04,-0.3174171812161175
SP500,2017-05,1.5274145171987774
SP500,2017-06,1.6131092093170762
SP500,2017-07,0.8265063957952901
SP500,2017-08,0.08640810554005895
SP500,2017-09,1.490823751489767
SP500,2017-10,2.573620729411674
SP500,2017-11,1.4316965430078543
SP500,2017-12,2.7272759820305303
SP500,2018-01,4.708981810838719
SP500,2018-02,-3.034211440852652
SP500,2018-03,-0.08803389833177411
SP500,2018-04,-1.8184493003219893
SP500,2018-05,1.8038869084150866
SP500,2018-06,1.9566664924805188
SP500,2018-07,1.4264866641390705
SP500,2018-08,2.29725465250068
SP500,2018-09,1.5284407306193737
SP500,2018-10,-3.9991632830903345
SP500,2018-11,-2.2342863276442526
SP500,2018-12,-5.725633995417024
SP500,2019-01,1.561271239742501
SP500,2019-02,5.656008902631182
SP500,2019-03,1.7830134352832427
